,sentence,tokens,tags,Indicator
1,Angela Merkel responded from 10.0.0.255 regarding the token p0q9w8e7r6t5y4u3i2o1p_lkjhgfdsazxcvbnm.,"['Angela', 'Merkel', 'responded', 'from', '10.0.0.255', 'regarding', 'the', 'token', 'p0q9w8e7r6t5y4u3i2o1p_lkjhgfdsazxcvbnm', '.']","['B-per', 'I-per', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'B-Token', 'O']",True
2,The server identified by 2001:db8:85a3::8a2e:370:7334 hosts the token xz12_abcd34efgh5678ijkl90mnopqrstu.,"['The', 'server', 'identified', 'by', '2001:db8:85a3::8a2e:370:7334', 'hosts', 'the', 'token', 'xz12_abcd34efgh5678ijkl90mnopqrstu', '.']","['O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'B-Token', 'O']",True
3,"On March 23rd, IBM detected an anomaly in the token a1b2c3d4e5f6g7h8i9j0klmnopqrstuv and traced it to 172.217.16.196 in San Francisco.","['On', 'March', '23rd', ',', 'IBM', 'detected', 'an', 'anomaly', 'in', 'the', 'token', 'a1b2c3d4e5f6g7h8i9j0klmnopqrstuv', 'and', 'traced', 'it', 'to', '172.217.16.196', 'in', 'San', 'Francisco', '.']","['O', 'B-tim', 'I-tim', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
4,Elon Musk logged in from IP 2607:f0d0:1002:51::4 with the token qwertyuiopasdfghjklzxcvbnm123456.,"['Elon', 'Musk', 'logged', 'in', 'from', 'IP', '2607:f0d0:1002:51::4', 'with', 'the', 'token', 'qwertyuiopasdfghjklzxcvbnm123456', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'B-Token', 'O']",True
5,"At 14:30, the token 9x8w7v6u5t4s3r2q1p0o_lkjiuhygvfredcba was used to access the IP 8.8.8.8 within Berlin.","['At', '14:30', ',', 'the', 'token', '9x8w7v6u5t4s3r2q1p0o_lkjiuhygvfredcba', 'was', 'used', 'to', 'access', 'the', 'IP', '8.8.8.8', 'within', 'Berlin', '.']","['O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
6,Facebook's security team flagged token abcd_efghijklmnopqrstu1234567890x and IP 123.45.67.89 in London yesterday.,"['Facebook', ""'s"", 'security', 'team', 'flagged', 'token', 'abcd_efghijklmnopqrstu1234567890x', 'and', 'IP', '123.45.67.89', 'in', 'London', 'yesterday', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'B-tim', 'O']",True
7,The token zxcvbnmasdfghjklqwertyuiop0987654321 was issued on Tuesday from 10.10.10.10 in Tokyo.,"['The', 'token', 'zxcvbnmasdfghjklqwertyuiop0987654321', 'was', 'issued', 'on', 'Tuesday', 'from', '10.10.10.10', 'in', 'Tokyo', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'B-tim', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
8,Dr. Jane Goodall connected remotely using IP 203.0.113.76 and token asdfghjklqwertyuiopzxcvbnm_1234567890.,"['Dr.', 'Jane', 'Goodall', 'connected', 'remotely', 'using', 'IP', '203.0.113.76', 'and', 'token', 'asdfghjklqwertyuiopzxcvbnm_1234567890', '.']","['O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-Token', 'O']",True
9,The mysterious token 1a2b3c4d5e6f7g8h9i0j_k_l_m_n_o_p_q_r_s_t was traced to 172.31.255.255 in Paris.,"['The', 'mysterious', 'token', '1a2b3c4d5e6f7g8h9i0j_k_l_m_n_o_p_q_r_s_t', 'was', 'traced', 'to', '172.31.255.255', 'in', 'Paris', '.']","['O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
10,Amazon Web Services reported a token breach involving 2001:0db8:85a3:0000:0000:8a2e:0370:7334 last Sunday.,"['Amazon', 'Web', 'Services', 'reported', 'a', 'token', 'breach', 'involving', '2001:0db8:85a3:0000:0000:8a2e:0370:7334', 'last', 'Sunday', '.']","['B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'B-tim', 'I-tim', 'O']",True
11,The token mnbvcxzlkjhgfdsapoiuytrewq0987654321 was generated at 13:45 in Sydney and linked to IP 198.51.100.23.,"['The', 'token', 'mnbvcxzlkjhgfdsapoiuytrewq0987654321', 'was', 'generated', 'at', '13:45', 'in', 'Sydney', 'and', 'linked', 'to', 'IP', '198.51.100.23', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
12,Bill Gates used the token 1234567890qwertyuiopasdfghjklzxcvbnm and IP 2404:6800:4003:c02::64 to connect to the Seattle office.,"['Bill', 'Gates', 'used', 'the', 'token', '1234567890qwertyuiopasdfghjklzxcvbnm', 'and', 'IP', '2404:6800:4003:c02::64', 'to', 'connect', 'to', 'the', 'Seattle', 'office', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O']",True
13,"At 08:00 AM, the token q1w2e3r4t5y6u7i8o9p_lk_jh_gf_d_s_a was sent from 10.255.255.1 in Berlin.","['At', '08:00', 'AM', ',', 'the', 'token', 'q1w2e3r4t5y6u7i8o9p_lk_jh_gf_d_s_a', 'was', 'sent', 'from', '10.255.255.1', 'in', 'Berlin', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
14,Microsoft detected suspicious activity from IP 172.16.0.5 involving token asdf1234qwer5678zxcv_ertyuio.,"['Microsoft', 'detected', 'suspicious', 'activity', 'from', 'IP', '172.16.0.5', 'involving', 'token', 'asdf1234qwer5678zxcv_ertyuio', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-Token', 'O']",True
15,The user token zxcasdqwe1234567890poiuytrewqlkjhgf was accessed via 192.0.2.146 near Toronto.,"['The', 'user', 'token', 'zxcasdqwe1234567890poiuytrewqlkjhgf', 'was', 'accessed', 'via', '192.0.2.146', 'near', 'Toronto', '.']","['O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
16,Tesla's system logged token 1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol and IP 2400:cb00:2049:1::c629:d7a2 on Wednesday.,"['Tesla', ""'s"", 'system', 'logged', 'token', '1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol', 'and', 'IP', '2400:cb00:2049:1::c629:d7a2', 'on', 'Wednesday', '.']","['B-org', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-tim', 'O']",True
17,"During the conference in New Delhi, token asdfghjklzxcvbnmqwertyuiop123456 was used from IP 203.0.113.7.","['During', 'the', 'conference', 'in', 'New', 'Delhi', ',', 'token', 'asdfghjklzxcvbnmqwertyuiop123456', 'was', 'used', 'from', 'IP', '203.0.113.7', '.']","['O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
18,The IP 198.51.100.22 was linked to the token qazwsxedcrfvtgbyhnujmikolp0987654321 during the summit.,"['The', 'IP', '198.51.100.22', 'was', 'linked', 'to', 'the', 'token', 'qazwsxedcrfvtgbyhnujmikolp0987654321', 'during', 'the', 'summit', '.']","['O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O']",True
19,"On Friday evening in Rome, token lkjhgfdsapoiuytrewqzxcvbnm1234567890 was compromised from IP 203.0.113.9.","['On', 'Friday', 'evening', 'in', 'Rome', ',', 'token', 'lkjhgfdsapoiuytrewqzxcvbnm1234567890', 'was', 'compromised', 'from', 'IP', '203.0.113.9', '.']","['O', 'B-tim', 'I-tim', 'O', 'B-geo', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
20,The token mnbv_cxzlkjhgfdsapoiuytrewqwerrtyu was used by John Smith from IP 192.168.1.1 in Chicago.,"['The', 'token', 'mnbv_cxzlkjhgfdsapoiuytrewqwerrtyu', 'was', 'used', 'by', 'John', 'Smith', 'from', 'IP', '192.168.1.1', 'in', 'Chicago', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
21,"On 2024-01-10, Apple Inc. reported token xcvbnmlkjhgfdsaqwertyuiop0987654321 traced to IP 10.10.10.10 in Cupertino.","['On', '2024-01-10', ',', 'Apple', 'Inc.', 'reported', 'token', 'xcvbnmlkjhgfdsaqwertyuiop0987654321', 'traced', 'to', 'IP', '10.10.10.10', 'in', 'Cupertino', '.']","['O', 'B-tim', 'O', 'B-org', 'I-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
22,The hacker used IP 172.217.3.110 and token 1q2w3e4r5t6y7u8i9o0p_zxcasdfghjkl to breach the system in Washington D.C.,"['The', 'hacker', 'used', 'IP', '172.217.3.110', 'and', 'token', '1q2w3e4r5t6y7u8i9o0p_zxcasdfghjkl', 'to', 'breach', 'the', 'system', 'in', 'Washington', 'D.C.', '.']","['O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
23,The token poiuytrewqlkjhgfdsamnbvcxz0987654321 was stolen from IP 2400:cb00:2049:1::c629:d7a2 yesterday in Madrid.,"['The', 'token', 'poiuytrewqlkjhgfdsamnbvcxz0987654321', 'was', 'stolen', 'from', 'IP', '2400:cb00:2049:1::c629:d7a2', 'yesterday', 'in', 'Madrid', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'B-tim', 'O', 'B-geo', 'O']",True
24,"During the 2023 conference in Berlin, token qazwsxedcrfvtgbyhnujmikolp1234567890 was leaked via IP 198.51.100.100.","['During', 'the', '2023', 'conference', 'in', 'Berlin', ',', 'token', 'qazwsxedcrfvtgbyhnujmikolp1234567890', 'was', 'leaked', 'via', 'IP', '198.51.100.100', '.']","['O', 'O', 'B-tim', 'O', 'O', 'B-gpe', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
25,The token poiuytrewqlkjhgfdsamnbvc0987654321 was accessed from IP 172.16.254.1 in Paris during the morning.,"['The', 'token', 'poiuytrewqlkjhgfdsamnbvc0987654321', 'was', 'accessed', 'from', 'IP', '172.16.254.1', 'in', 'Paris', 'during', 'the', 'morning', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O', 'O', 'B-tim', 'O']",True
26,Google Cloud noticed token lkjhgfdsapoiuytrewqzxcvbnm1234567890 and IP 8.8.4.4 activity in Mountain View.,"['Google', 'Cloud', 'noticed', 'token', 'lkjhgfdsapoiuytrewqzxcvbnm1234567890', 'and', 'IP', '8.8.4.4', 'activity', 'in', 'Mountain', 'View', '.']","['B-org', 'I-org', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
27,The token 1234567890poiuytrewqlkjhgfdsamnbvcxz was compromised from IP 192.0.2.33 in Amsterdam.,"['The', 'token', '1234567890poiuytrewqlkjhgfdsamnbvcxz', 'was', 'compromised', 'from', 'IP', '192.0.2.33', 'in', 'Amsterdam', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
28,"Yesterday morning, token qwertyuiopasdfghjklzxcvbnm0987654321 was used from IP 10.1.1.1 near Los Angeles.","['Yesterday', 'morning', ',', 'token', 'qwertyuiopasdfghjklzxcvbnm0987654321', 'was', 'used', 'from', 'IP', '10.1.1.1', 'near', 'Los', 'Angeles', '.']","['B-tim', 'I-tim', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
29,The IP 172.20.10.5 was linked to token asdfghjklzxcvbnmqwertyuiop9876543210 and activity in Boston.,"['The', 'IP', '172.20.10.5', 'was', 'linked', 'to', 'token', 'asdfghjklzxcvbnmqwertyuiop9876543210', 'and', 'activity', 'in', 'Boston', '.']","['O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-geo', 'O']",True
30,NASA reported token zxcvbnmlkjhgfdsaqwertyuiop0987654321 used from IP 192.168.100.100 during the launch.,"['NASA', 'reported', 'token', 'zxcvbnmlkjhgfdsaqwertyuiop0987654321', 'used', 'from', 'IP', '192.168.100.100', 'during', 'the', 'launch', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O']",True
31,"During the meeting in Paris, token 1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol was accessed from IP 198.51.100.200.","['During', 'the', 'meeting', 'in', 'Paris', ',', 'token', '1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol', 'was', 'accessed', 'from', 'IP', '198.51.100.200', '.']","['O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
32,Facebook security found token asdfghjklqwertyuiopzxcvbnm123456 and IP 203.0.113.50 active in Menlo Park.,"['Facebook', 'security', 'found', 'token', 'asdfghjklqwertyuiopzxcvbnm123456', 'and', 'IP', '203.0.113.50', 'active', 'in', 'Menlo', 'Park', '.']","['B-org', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
33,The token qazxswedcvfrtgbnhyujmikolp0987654321 was compromised from 10.0.0.1 in New York on Tuesday.,"['The', 'token', 'qazxswedcvfrtgbnhyujmikolp0987654321', 'was', 'compromised', 'from', '10.0.0.1', 'in', 'New', 'York', 'on', 'Tuesday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O', 'B-tim', 'O']",True
34,IBM's token 1234qwer5678tyuiopasdfghjklzxcvbnm was logged at IP 192.168.10.10 in Armonk.,"['IBM', ""'s"", 'token', '1234qwer5678tyuiopasdfghjklzxcvbnm', 'was', 'logged', 'at', 'IP', '192.168.10.10', 'in', 'Armonk', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
35,The token zxcvbnmasdfghjklqwertyuiop0987654321 was used from IP 2001:db8::ff00:42:8329 in Tokyo yesterday.,"['The', 'token', 'zxcvbnmasdfghjklqwertyuiop0987654321', 'was', 'used', 'from', 'IP', '2001:db8::ff00:42:8329', 'in', 'Tokyo', 'yesterday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
36,The token q1w2e3r4t5y6u7i8o9p_lk_jh_gf_d_s_a was sent from IP 10.0.0.99 to the London office.,"['The', 'token', 'q1w2e3r4t5y6u7i8o9p_lk_jh_gf_d_s_a', 'was', 'sent', 'from', 'IP', '10.0.0.99', 'to', 'the', 'London', 'office', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-gpe', 'O', 'O']",True
37,The hacker used IP 203.0.113.15 and token 1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol to breach the system in Washington D.C.,"['The', 'hacker', 'used', 'IP', '203.0.113.15', 'and', 'token', '1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol', 'to', 'breach', 'the', 'system', 'in', 'Washington', 'D.C.', '.']","['O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
38,The token poiuytrewqlkjhgfdsamnbvc0987654321 was accessed from IP 172.16.254.1 in Paris during the morning.,"['The', 'token', 'poiuytrewqlkjhgfdsamnbvc0987654321', 'was', 'accessed', 'from', 'IP', '172.16.254.1', 'in', 'Paris', 'during', 'the', 'morning', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O', 'O', 'B-tim', 'O']",True
39,Google Cloud noticed token lkjhgfdsapoiuytrewqzxcvbnm1234567890 and IP 8.8.4.4 activity in Mountain View.,"['Google', 'Cloud', 'noticed', 'token', 'lkjhgfdsapoiuytrewqzxcvbnm1234567890', 'and', 'IP', '8.8.4.4', 'activity', 'in', 'Mountain', 'View', '.']","['B-org', 'I-org', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
40,The token 1234567890poiuytrewqlkjhgfdsamnbvcxz was compromised from IP 192.0.2.33 in Amsterdam.,"['The', 'token', '1234567890poiuytrewqlkjhgfdsamnbvcxz', 'was', 'compromised', 'from', 'IP', '192.0.2.33', 'in', 'Amsterdam', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
41,"Yesterday morning, token qwertyuiopasdfghjklzxcvbnm0987654321 was used from IP 10.1.1.1 near Los Angeles.","['Yesterday', 'morning', ',', 'token', 'qwertyuiopasdfghjklzxcvbnm0987654321', 'was', 'used', 'from', 'IP', '10.1.1.1', 'near', 'Los', 'Angeles', '.']","['B-tim', 'I-tim', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
42,The IP 172.20.10.5 was linked to token asdfghjklqwertyuiopzxcvbnm9876543210 and activity in Boston.,"['The', 'IP', '172.20.10.5', 'was', 'linked', 'to', 'token', 'asdfghjklqwertyuiopzxcvbnm9876543210', 'and', 'activity', 'in', 'Boston', '.']","['O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-geo', 'O']",True
43,NASA reported token zxcvbnmlkjhgfdsaqwertyuiop0987654321 used from IP 192.168.100.100 during the launch.,"['NASA', 'reported', 'token', 'zxcvbnmlkjhgfdsaqwertyuiop0987654321', 'used', 'from', 'IP', '192.168.100.100', 'during', 'the', 'launch', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O']",True
44,"During the meeting in Paris, token 1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol was accessed from IP 198.51.100.200.","['During', 'the', 'meeting', 'in', 'Paris', ',', 'token', '1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol', 'was', 'accessed', 'from', 'IP', '198.51.100.200', '.']","['O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
45,Facebook security found token asdfghjklqwertyuiopzxcvbnm123456 and IP 203.0.113.50 active in Menlo Park.,"['Facebook', 'security', 'found', 'token', 'asdfghjklqwertyuiopzxcvbnm123456', 'and', 'IP', '203.0.113.50', 'active', 'in', 'Menlo', 'Park', '.']","['B-org', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
46,The token qazxswedcvfrtgbnhyujmikolp0987654321 was compromised from 10.0.0.1 in New York on Tuesday.,"['The', 'token', 'qazxswedcvfrtgbnhyujmikolp0987654321', 'was', 'compromised', 'from', '10.0.0.1', 'in', 'New', 'York', 'on', 'Tuesday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O', 'B-tim', 'O']",True
47,IBM's token 1234qwer5678tyuiopasdfghjklzxcvbnm was logged at IP 192.168.10.10 in Armonk.,"['IBM', ""'s"", 'token', '1234qwer5678tyuiopasdfghjklzxcvbnm', 'was', 'logged', 'at', 'IP', '192.168.10.10', 'in', 'Armonk', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-gpe', 'O']",True
48,The token zxcvbnmasdfghjklqwertyuiop0987654321 was used from IP 2001:db8::ff00:42:8329 in Tokyo yesterday.,"['The', 'token', 'zxcvbnmasdfghjklqwertyuiop0987654321', 'was', 'used', 'from', 'IP', '2001:db8::ff00:42:8329', 'in', 'Tokyo', 'yesterday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
0,"Yesterday, NASA deployed the token p9x7_vbz1mndqre8fgtyu3k4h0wlxjv2os6 from IP 10.0.0.42 during the launch at Cape Canaveral.","['Yesterday', ',', 'NASA', 'deployed', 'the', 'token', 'p9x7_vbz1mndqre8fgtyu3k4h0wlxjv2os6', 'from', 'IP', '10.0.0.42', 'during', 'the', 'launch', 'at', 'Cape', 'Canaveral', '.']","['B-tim', 'O', 'B-org', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
1,"At 14:30, the analyst received token kq2z-9x8v7u6t5srw4qp3n0mlkjihgfedcba from 172.31.255.255 in New York City.","['At', '14:30', ',', 'the', 'analyst', 'received', 'token', 'kq2z-9x8v7u6t5srw4qp3n0mlkjihgfedcba', 'from', '172.31.255.255', 'in', 'New', 'York', 'City', '.']","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'B-gpe', 'I-gpe', 'I-gpe', 'O']",True
